,update,insert,delete,move
HdlIdDef-HdlModuleDef,3.0,,1.0,
HdlOp-MemberAccessing-HdlIdDef,1.0,,,
HdlOp-PARAMETRIZATION-HdlOp-MemberAccessing,1.0,,,
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,4.0,,,
HdlOp-InfixExpression-HdlOp-DOWNTO,4.0,,,
HdlOp-InfixExpression-HdlOp-InfixExpression,22.0,,,
HdlOp-PARAMETRIZATION-HdlIdDef,4.0,1.0,,1.0
HdlStmIf-HdlStmIf,1.0,,1.0,
HdlOp-InfixExpression-HdlStmIf,3.0,,,
HdlStmAssign-HdlStmIf,1.0,,,
HdlOp-MemberAccessing-HdlStmAssign,1.0,,,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,1.0,,,
HdlOp-DOWNTO-HdlOp-MemberAccessing,1.0,,,
HdlStmIf-HdlStmCase,2.0,,,
HdlStmProcess-HdlModuleDef,2.0,1.0,1.0,
HdlModuleDef-HdlContext,4.0,2.0,2.0,
HdlModuleDec-HdlModuleDef,4.0,2.0,2.0,
HdlIdDef-HdlModuleDec,2.0,4.0,,
HdlStmAssign-HdlModuleDef,,1.0,,
