,update,delete,insert,move
HdlIdDef-HdlModuleDec,1.0,3.0,7.0,
HdlIdDef-HdlModuleDef,4.0,2.0,17.0,
HdlStmAssign-HdlModuleDef,9.0,3.0,6.0,
HdlOp-InfixExpression-HdlStmAssign,10.0,,6.0,6.0
HdlOp-InfixExpression-HdlOp-InfixExpression,13.0,,14.0,
HdlOp-PrefixExpression-HdlOp-InfixExpression,1.0,,3.0,
HdlStmIf-HdlStmProcess,1.0,1.0,,
HdlOp-InfixExpression-HdlStmIf,3.0,,1.0,1.0
HdlStmProcess-HdlModuleDef,1.0,1.0,1.0,
HdlStmCase-HdlStmProcess,1.0,,,
HdlStmAssign-HdlStmCase,1.0,1.0,,
HdlStmAssign-HdlStmIf,8.0,1.0,6.0,5.0
HdlStmIf-HdlStmCase,5.0,,,2.0
HdlStmIf-HdlStmIf,4.0,,1.0,2.0
HdlOp-TERNARY-HdlStmAssign,,,,1.0
