,update,move,delete,insert
HdlIdDef-HdlModuleDec,3.0,,,
HdlIdDef-HdlModuleDef,6.0,1.0,,1.0
HdlOp-MemberAccessing-HdlIdDef,2.0,,2.0,
HdlOp-DOWNTO-HdlOp-MemberAccessing,4.0,2.0,,
HdlOp-InfixExpression-HdlOp-DOWNTO,4.0,,,
HdlOp-PARAMETRIZATION-HdlIdDef,4.0,,2.0,
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,5.0,2.0,,1.0
HdlOp-InfixExpression-HdlIdDef,1.0,,,1.0
HdlDirection-HdlIdDef,1.0,,,
HdlFunctionDef-HdlModuleDef,1.0,,,1.0
HdlIdDef-HdlFunctionDef,1.0,,,
HdlStmFor-HdlStmProcess,1.0,,,
HdlOp-InfixExpression-HdlStmFor,1.0,,,
HdlOp-InfixExpression-HdlOp-InfixExpression,4.0,,1.0,
HdlStmAssign-HdlStmFor,7.0,,,
HdlStmIf-HdlStmFor,2.0,,1.0,1.0
HdlOp-InfixExpression-HdlStmIf,1.0,,,1.0
HdlStmFor-HdlStmFor,2.0,,,
HdlOp-Assignment-HdlStmFor,3.0,,2.0,
HdlOp-InfixExpression-HdlOp-Assignment,3.0,,,
HdlOp-MemberAccessing-HdlOp-InfixExpression,7.0,,,2.0
HdlOp-InfixExpression-HdlOp-MemberAccessing,11.0,,9.0,
HdlOp-MemberAccessing-HdlStmAssign,2.0,,,
HdlStmIf-HdlStmIf,4.0,1.0,,
HdlOp-FunctionCall-HdlStmIf,4.0,,,
HdlOp-FunctionCall-HdlOp-FunctionCall,2.0,,,2.0
HdlOp-MemberAccessing-HdlOp-FunctionCall,6.0,,,
HdlOp-PrefixExpression-HdlStmIf,,1.0,,
HdlOp-PrefixExpression-HdlOp-InfixExpression,,,,1.0
