,update,delete,move,insert
HdlStmCase-HdlStmIf,8.0,,,
HdlIdDef-HdlModuleDec,9.0,,3.0,12.0
HdlStmProcess-HdlModuleDef,2.0,1.0,,4.0
HdlOp-RISING-HdlStmProcess,1.0,,,
HdlStmIf-HdlStmIf,6.0,,,1.0
HdlOp-InfixExpression-HdlStmIf,6.0,,,4.0
HdlOp-InfixExpression-HdlOp-InfixExpression,3.0,,,3.0
HdlStmIf-HdlStmCase,11.0,,,1.0
HdlStmIf-HdlStmProcess,9.0,,,1.0
HdlStmAssign-HdlModuleDef,4.0,1.0,1.0,1.0
HdlStmAssign-HdlStmIf,21.0,2.0,4.0,6.0
HdlOp-InfixExpression-HdlStmAssign,3.0,,3.0,2.0
HdlDirection-HdlIdDef,1.0,,,
HdlStmAssign-HdlStmCase,1.0,,2.0,
HdlOp-Assignment-HdlStmIf,1.0,1.0,,
HdlOp-FunctionCall-HdlStmIf,3.0,1.0,,
HdlOp-MemberAccessing-HdlOp-FunctionCall,3.0,,,
HdlOp-MemberAccessing-HdlStmAssign,2.0,,,
HdlOp-PrefixExpression-HdlStmAssign,1.0,,,1.0
HdlIdDef-HdlModuleDef,4.0,,1.0,10.0
HdlOp-PARAMETRIZATION-HdlIdDef,3.0,,,
HdlStmCase-HdlStmProcess,1.0,,,
HdlOp-Assignment-HdlStmCase,4.0,,,
HdlOp-TERNARY-HdlStmAssign,2.0,,,
HdlOp-InfixExpression-HdlOp-TERNARY,1.0,,,1.0
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,2.0,,,
HdlOp-FunctionCall-HdlStmCase,,4.0,,
HdlOp-InfixExpression-HdlOp-Assignment,,,1.0,
HdlOp-PrefixExpression-HdlOp-TERNARY,,,1.0,
