,insert,update,move,delete
HdlIdDef-HdlModuleDef,3.0,8.0,,1.0
HdlStmIf-HdlStmProcess,1.0,39.0,,
HdlOp-PrefixExpression-HdlStmIf,1.0,,,
HdlStmIf-HdlStmIf,1.0,,,
HdlStmAssign-HdlStmIf,2.0,10.0,,
HdlIdDef-HdlModuleDec,7.0,1.0,,
HdlOp-Assignment-HdlStmProcess,6.0,,,
HdlOp-MemberAccessing-HdlStmAssign,1.0,1.0,4.0,
HdlOp-InfixExpression-HdlOp-InfixExpression,6.0,25.0,1.0,2.0
HdlOp-TERNARY-HdlStmAssign,2.0,4.0,1.0,
HdlOp-InfixExpression-HdlIdDef,2.0,5.0,1.0,1.0
HdlDirection-HdlIdDef,1.0,,,1.0
HdlOp-InfixExpression-HdlStmAssign,1.0,6.0,,
HdlStmProcess-HdlModuleDef,1.0,5.0,,
HdlStmAssign-HdlModuleDef,,9.0,,
HdlStmCase-HdlStmIf,,32.0,,
HdlStmAssign-HdlStmCase,,7.0,2.0,
HdlOp-MemberAccessing-HdlOp-TERNARY,,2.0,,
HdlOp-InfixExpression-HdlOp-MemberAccessing,,2.0,,
HdlStmIf-HdlStmCase,,1.0,,
HdlOp-InfixExpression-HdlStmIf,,1.0,,
HdlOp-MemberAccessing-HdlOp-InfixExpression,,,,1.0
