,insert,update,delete
HdlStmAssign-HdlModuleDef,1.0,5.0,
HdlOp-MemberAccessing-HdlOp-TERNARY,1.0,1.0,
HdlIdDef-HdlModuleDec,1.0,2.0,3.0
HdlOp-PARAMETRIZATION-HdlIdDef,4.0,,1.0
HdlIdDef-HdlModuleDef,1.0,9.0,
HdlOp-MemberAccessing-HdlStmIf,1.0,,
HdlOp-InfixExpression-HdlStmAssign,,3.0,
HdlOp-InfixExpression-HdlOp-InfixExpression,,13.0,
HdlOp-TERNARY-HdlIdDef,,1.0,
HdlOp-TERNARY-HdlOp-TERNARY,,1.0,
HdlOp-TERNARY-HdlStmAssign,,1.0,
HdlOp-InfixExpression-HdlOp-TERNARY,,1.0,
HdlOp-MemberAccessing-HdlOp-InfixExpression,,7.0,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,,1.0,
HdlOp-PrefixExpression-HdlOp-MemberAccessing,,2.0,
HdlStmIf-HdlStmProcess,,2.0,
HdlOp-InfixExpression-HdlStmIf,,2.0,
HdlModuleDec-HdlModuleDef,,84.0,
HdlStmCase-HdlStmProcess,,2.0,
HdlStmIf-HdlStmIf,,1.0,
HdlOp-InfixExpression-HdlIdDef,,1.0,
HdlOp-InfixExpression-HdlOp-PrefixExpression,,1.0,
HdlStmAssign-HdlStmIf,,,1.0
